training_id,title,provider,description,duration_days,duration_hours,competency_tags,category,level,target_audience,programme_url,source,active
NSSTA_PROG_13,Advanced R for Official Statistics: Survey Weighting & Demography,MoSPI TPAC / ISI Kolkata,"Complex survey designs with the 'survey' and 'srvyr' packages, life tables, and fertility indices.",6,36.0,"R Programming, Sampling Techniques, Labour Statistics",Technical,Advanced,Research Officers & Statistical Analysts,https://nssta.gov.in/trainings/view/nssta_prog_13,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_14,Python Big Data Processing for National Metadata Repositories,MoSPI TPAC / IIIT Delhi,"PySpark, Dask, automated parsing of millions of census and survey microdata records.",8,48.0,"Python for Data Analysis, APIs & Data Integration, Metadata Standards",Technical,Advanced,DIID Software & Database Engineers,https://nssta.gov.in/trainings/view/nssta_prog_14,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_15,Cybersecurity Incident Response & Cloud Security for MoSPI Systems,MeitY / CERT-In & NSSTA,"Hardening Linux servers, database encryption at rest, secure API gateways, and penetration audit drills.",3,18.0,"Cybersecurity & Data Protection, Cloud Computing for Government, Data Privacy & Anonymization",Digital Governance,Intermediate,IT Officers & Systems Administrators,https://nssta.gov.in/trainings/view/nssta_prog_15,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_16,Statistical Disclosure Control Workshop: Anonymizing Microdata Releases,NSSTA Greater Noida & Statistics Netherlands,"Practical exercises with argus and sdcMicro packages, frequency tables, and microdata release risk.",3,18.0,"Data Privacy & Anonymization, Data Quality Frameworks, Metadata Standards",Digital Governance,Advanced,Data Dissemination & Publication Officers,https://nssta.gov.in/trainings/view/nssta_prog_16,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_17,Agricultural Crop Estimation and Area Enumeration Protocols,NSSTA & ICAR-IASRI,"Design of General Crop Estimation Surveys (GCES), remote sensing ground truthing, and yield estimation.",5,30.0,"Agricultural Statistics, Sampling Techniques, Survey Design",Statistical,Intermediate,State Statistical Bureaus & DES Officers,https://nssta.gov.in/trainings/view/nssta_prog_17,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_18,Index of Industrial Production: Practical Compilation & Diagnostics,ESD MoSPI & NSSTA,"Source agency data collection, non-response imputation, and sub-index volatility troubleshooting.",3,18.0,"Industrial Statistics, Price Statistics, Data Quality Frameworks",Statistical,Intermediate,ESD Industrial Statistics Cell,https://nssta.gov.in/trainings/view/nssta_prog_18,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_19,Effective Parliamentary Reporting & Statistical Data Communication,NSSTA & ISTM,"Crafting evidence-based replies, executive dashboard narratives, and media engagement guidelines.",3,18.0,"Official Communication & Reporting, Evidence-Based Decision Making",Behavioural / Managerial,Intermediate,Section Officers & Joint Directors,https://nssta.gov.in/trainings/view/nssta_prog_19,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_20,Applied Stata for Complex Socio-Economic Survey Analysis,NSSTA & NCAER,"svy prefix commands, multinomial logit on PLFS, and poverty & inequality index estimations.",5,30.0,"Stata Econometrics, Labour Statistics, Sampling Techniques",Technical,Advanced,Social Statistics & Analytical Division,https://nssta.gov.in/trainings/view/nssta_prog_20,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_21,Machine Learning for Automated Document Extraction & Classification,MoSPI TPAC / IIT Delhi,"Transformer models, OCR pipelines for historical survey gazettes, and tabular text extraction.",8,48.0,"AI & Machine Learning in Statistics, Python for Data Analysis, APIs & Data Integration",Technical,Advanced,Data Innovation & AI Officers,https://nssta.gov.in/trainings/view/nssta_prog_21,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_22,National Quality Assurance Framework (NQAF) Assessor Certification,NSSTA & MoSPI Quality Directorate,Training to become certified internal quality auditors for official surveys and administrative registries.,4,24.0,"Data Quality Frameworks, Metadata Standards, Survey Design",Statistical,Advanced,Supervisory & Audit Officers,https://nssta.gov.in/trainings/view/nssta_prog_22,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_23,Energy Balance & Environmental-Economic Accounting (SEEA),NSSTA Greater Noida & UN SIAP,"System of Environmental-Economic Accounting, asset accounts for minerals, water, and forests.",5,30.0,"National Accounts, SDG Indicators, Metadata Standards",Statistical,Advanced,Social & Economic Statistics Officers,https://nssta.gov.in/trainings/view/nssta_prog_23,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_24,Spatial Autocorrelation and Point Pattern Analysis in Public Health Data,NSSTA & Regional Remote Sensing Centre,"K-function, Voronoi tessellation, disease mapping, and accessibility analysis using QGIS and R.",4,24.0,"GIS & Spatial Statistics, R Programming, SDG Indicators",Technical,Intermediate,Social Statistics & Health Survey Units,https://nssta.gov.in/trainings/view/nssta_prog_24,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_25,Public Procurement & Project Governance for Statistical Operations,NSSTA & Department of Expenditure,"GeM portal, QCBS procurement for field survey agencies, and contract administration.",3,18.0,"Project Management in Statistical Surveys, Public Service Ethics & Integrity",Behavioural / Managerial,Intermediate,Administrative & Operational Heads,https://nssta.gov.in/trainings/view/nssta_prog_25,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_26,SDMX Architecture and Automated Data Dissemination Systems,NSSTA & Eurostat Experts,"Configuring SDMX registries, data structure definitions, and REST web services for national data.",4,24.0,"Metadata Standards, APIs & Data Integration, Open Data Standards",Statistical,Advanced,DIID Portal Administrators,https://nssta.gov.in/trainings/view/nssta_prog_26,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_27,Consumer Expenditure Survey (CES) Methodology & Consumption Baskets,NSSTA & Survey Division,"Recall periods (URP, MRP, MMRP), food/non-food classification, and poverty line consumption deflators.",4,24.0,"Survey Design, Price Statistics, Sampling Techniques",Statistical,Advanced,Survey Design & Research Division,https://nssta.gov.in/trainings/view/nssta_prog_27,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_28,Automated Web Scraping and Big Data Ingestion for Official Statistics,MoSPI TPAC / ISI Bangalore,"BeautifulSoup, Scrapy, Selenium for high-frequency commodity prices and labor market job postings.",5,30.0,"Python for Data Analysis, Price Statistics, Labour Statistics",Technical,Advanced,Price Statistics & Research Officers,https://nssta.gov.in/trainings/view/nssta_prog_28,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_29,"Digital Signatures, e-Office Governance & Cyber Ethics",NSSTA & NIC,"e-Office workflows, DSC management, secure file archiving, and RTI compliance in statistical departments.",2,12.0,"Digital Public Infrastructure, Cybersecurity & Data Protection, Public Service Ethics & Integrity",Digital Governance,Beginner,All Statistical Staff,https://nssta.gov.in/trainings/view/nssta_prog_29,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_30,"Statistical Leadership, Crisis Management & Team Resilience",NSSTA & IIM Lucknow,"Leading through high-stakes survey deadlines, media scrutiny, and cross-functional team motivation.",3,18.0,"Leadership & Team Management, Change Management in Governance, Official Communication & Reporting",Behavioural / Managerial,Advanced,Joint Directors & Deputy Directors,https://nssta.gov.in/trainings/view/nssta_prog_30,NSSTA / TPAC Prototype Catalogue,True
NSSTA_PROG_31,"International Classification Systems: NIC, NAPCS, and NCO Harmonization",NSSTA & CPD MoSPI,"Harmonizing national classification standards with UN ISIC Rev.4, CPC, and ISCO-08.",3,18.0,"Metadata Standards, Industrial Statistics, Labour Statistics",Statistical,Intermediate,All Classification & Survey Officers,https://nssta.gov.in/trainings/view/nssta_prog_31,NSSTA / TPAC Prototype Catalogue,True
